Price,Date,Close
Ticker,,PLTR
0,738967,24.18000030517578
1,738970,24.510000228881836
2,738971,24.889999389648438
3,738972,24.510000228881836
4,738973,23.010000228881836
5,738977,22.860000610351562
6,738978,22.719999313354492
7,738979,22.700000762939453
8,738980,22.479999542236328
9,738981,22.959999084472656
10,738984,23.0
11,738985,22.809999465942383
12,738986,22.420000076293945
13,738987,22.84000015258789
14,738988,22.670000076293945
15,738991,21.899999618530273
16,738992,21.8799991607666
17,738993,21.309999465942383
18,738994,21.1299991607666
19,738995,20.469999313354492
20,738998,20.969999313354492
21,738999,21.639999389648438
22,739000,21.59000015258789
23,739001,21.709999084472656
24,739002,22.520000457763672
25,739005,22.829999923706055
26,739006,21.969999313354492
27,739007,22.1200008392334
28,739008,22.549999237060547
29,739009,23.329999923706055
30,739012,25.209999084472656
31,739013,21.399999618530273
32,739014,21.559999465942383
33,739015,21.139999389648438
34,739016,20.600000381469727
35,739019,20.940000534057617
36,739020,21.440000534057617
37,739021,21.670000076293945
38,739022,21.649999618530273
39,739023,21.760000228881836
40,739026,21.6200008392334
41,739027,21.239999771118164
42,739028,21.170000076293945
43,739029,20.719999313354492
44,739030,21.010000228881836
45,739034,21.049999237060547
46,739035,20.940000534057617
47,739036,21.729999542236328
48,739037,21.68000030517578
49,739040,21.31999969482422
50,739041,22.100000381469727
51,739042,22.959999084472656
52,739043,23.790000915527344
53,739044,23.309999465942383
54,739047,23.1299991607666
55,739048,23.850000381469727
56,739049,23.770000457763672
57,739050,23.270000457763672
58,739051,23.56999969482422
59,739054,25.020000457763672
60,739055,25.81999969482422
61,739057,25.559999465942383
62,739058,23.84000015258789
63,739061,24.15999984741211
64,739062,24.559999465942383
65,739063,24.100000381469727
66,739064,25.219999313354492
67,739065,25.329999923706055
68,739068,25.8799991607666
69,739069,25.829999923706055
70,739070,25.850000381469727
71,739072,27.229999542236328
72,739075,27.700000762939453
73,739076,27.389999389648438
74,739077,28.420000076293945
75,739078,27.639999389648438
76,739079,28.06999969482422
77,739082,28.670000076293945
78,739083,28.670000076293945
